ID,FirstName,LastName,FullName,BirthDate,Image,Title_ID,Department_ID,HireDate,CostCenter,Status_Code,Email,HomePhone,MobilePhone,Extension,Country_ID,Region_ID,City_ID,Address,PostalCode
01a2b3c4-d5e6-4f7a-8b9c-0d1e2f3a4b5c,Olivia,Miller,"Olivia Miller",1990-05-15,https://i.pravatar.cc/150?u=01a2b3c4-d5e6-4f7a-8b9c-0d1e2f3a4b5c,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,2020-01-10,CC-1001,Active,olivia.miller@example.com,555-0101,555-0201,1101,9a944ae7-d124-42e8-ac37-e7918a46d96b,e0f3b1c4-6b5d-4e4c-9a0f-9d8c7b6a5e4g,7a8b9c0d-1e2f-4a3b-4c5d-6e7f8g9h0i1j,123 Maple Street,33101
02b3c4d5-e6f7-4a8b-9c0d-1e2f3a4b5c6d,Liam,Jones,"Liam Jones",1988-11-22,https://i.pravatar.cc/150?u=02b3c4d5-e6f7-4a8b-9c0d-1e2f3a4b5c6d,b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,2b3c4d5e-6f7a-4b8c-9d0e-1f2a3b4c5d6e,2019-03-22,CC-1002,Active,liam.jones@example.com,555-0102,555-0202,1102,fdd349c4-0ac6-4f69-9f80-16c063919a23,c4d7f5a8-0f9b-4c8a-9e4d-3b2a1f0e9c8k,f5c6d7e8-f9a0-4i1j-2k3l-4m5n6o7p8q9r,456 Oak Avenue,M5H 2N2
03c4d5e6-f7a8-4b9c-8d1e-2f3a4b5c6d7e,Emma,Garcia,"Emma Garcia",1992-02-18,https://i.pravatar.cc/150?u=03c4d5e6-f7a8-4b9c-8d1e-2f3a4b5c6d7e,c3d4e5f6-a7b8-4c9d-8e1f-2a3b4c5d6e7f,3c4d5e6f-7a8b-4c9d-8e1f-2a3b4c5d6e7f,2021-07-01,CC-1003,OnLeave,emma.garcia@example.com,555-0103,555-0203,1103,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i,a8b1d9ec-4d3f-4a2e-9c8b-7f6e5d4c3a2o,b3c4d5e6-f7a8-4q9r-0s1t-2u3v4w5x6y7z,789 Pine Lane,29601
04d5e6f7-a8b9-4c0d-9e2f-3a4b5c6d7e8f,Noah,Rodriguez,"Noah Rodriguez",1995-09-03,https://i.pravatar.cc/150?u=04d5e6f7-a8b9-4c0d-9e2f-3a4b5c6d7e8f,d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8g,4d5e6f7a-8b9c-4d0e-1f2a-3b4c5d6e7f8g,2022-05-19,CC-1004,Active,noah.rodriguez@example.com,555-0104,555-0204,1104,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i,b9c2e0fd-5e4a-4b3f-8d9c-8a7f6e5d4b3p,e6f7a8b9-c0d1-4t2u-3v4w-5x6y7z8a9b0c,101 Elm Court,80202
05e6f7a8-b9c0-4d1e-8f3a-4b5c6d7e8f9a,Ava,Smith,"Ava Smith",1985-07-30,https://i.pravatar.cc/150?u=05e6f7a8-b9c0-4d1e-8f3a-4b5c6d7e8f9a,e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8g9h,5e6f7a8b-9c0d-4e1f-2a3b-4c5d6e7f8g9h,2015-11-05,CC-2001,Inactive,ava.smith@example.com,555-0105,555-0205,1105,9a944ae7-d124-42e8-ac37-e7918a46d96b,d9e2a0b3-5a4c-4d3b-8f9e-8c7b6a5d4e3f,5e6f7a8b-9c0d-4e1f-2a3b-4c5d6e7f8g9h,212 Birch Road,75201
06f7a8b9-c0d1-4e2f-9a4b-5c6d7e8f9a0b,Lucas,Martinez,"Lucas Martinez",1998-01-25,https://i.pravatar.cc/150?u=06f7a8b9-c0d1-4e2f-9a4b-5c6d7e8f9a0b,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i,6f7a8b9c-0d1e-4f2a-3b4c-5d6e7f8g9h0i,2023-08-11,CC-2002,Active,lucas.martinez@example.com,555-0106,555-0206,1106,6085a79e-83dc-4cb5-878c-3dae06287ef1,a4b7d5ec-0d9f-4a8e-9c4b-3f2e1d0c9a8u,b5c6d7e8-f9a0-4c1d-2e3f-4g5h6i7j8k9l,333 Cedar Drive,80331
07a8b9c0-d1e2-4f3a-8b5c-6d7e8f9a0b1c,Mia,Hernandez,"Mia Hernandez",1991-04-12,https://i.pravatar.cc/150?u=07a8b9c0-d1e2-4f3a-8b5c-6d7e8f9a0b1c,a7b8c9d0-e1f2-4a3b-4c5d-6e7f8g9h0i1j,7a8b9c0d-1e2f-4a3b-4c5d-6e7f8g9h0i1j,2018-09-14,CC-2003,Active,mia.hernandez@example.com,555-0107,555-0207,1107,a3b4c5d6-e7f8-4g9h-0i1j-2k3l4m5n6o7p,e8f1b9ca-4b3d-4ec2-9a8f-7d6c5b4a3ec2,c2d3e4f5-a6b7-4d8e-9l0m-1n2o3p4q5r6s,444 Spruce Avenue,EC1A 1BB
08b9c0d1-e2f3-4a4b-9c6d-7e8f9a0b1c2d,Henry,Lopez,"Henry Lopez",1987-08-08,https://i.pravatar.cc/150?u=08b9c0d1-e2f3-4a4b-9c6d-7e8f9a0b1c2d,b8c9d0e1-f2a3-4b4c-5d6e-7f8g9h0i1j2k,8b9c0d1e-2f3a-4b4c-5d6e-7f8g9h0i1j2k,2016-02-28,CC-2004,Active,henry.lopez@example.com,555-0108,555-0208,1108,f7caeaee-dfcf-4bff-8efb-2a3b4c8d9e7f,c2d5fdae-8f7b-4c66-9ec1-1ba09f8e7ca6,e0f1a2b3-c4d5-4f6a-7t8u-9v0w1x2y3z4a,555 Willow Street,75001
09c0d1e2-f3a4-4b5c-8d7e-8f9a0b1c2d3e,Evelyn,Gonzalez,"Evelyn Gonzalez",1993-12-01,https://i.pravatar.cc/150?u=09c0d1e2-f3a4-4b5c-8d7e-8f9a0b1c2d3e,c9d0e1f2-a3b4-4c5d-6e7f-8g9h0i1j2k3l,9c0d1e2f-3a4b-4c5d-6e7f-8g9h0i1j2k3l,2022-10-03,CC-3001,Active,evelyn.gonzalez@example.com,555-0109,555-0209,1109,881aa8ea-d328-4f11-81c6-856c0a15ce78,b7caecfd-3ec0-4b11-8db6-6af5fe4edc1b,f7a8b9c0-d1e2-4a3b-4a5b-6c7d8e9f0a1b,666 Redwood Boulevard,44100
10d1e2f3-a4b5-4c6d-9e8f-9a0b1c2d3e4f,Jack,Wilson,"Jack Wilson",1999-06-20,https://i.pravatar.cc/150?u=10d1e2f3-a4b5-4c6d-9e8f-9a0b1c2d3e4f,d0e1f2a3-b4c5-4d6e-7f8g-9h0i1j2k3l4m,a0d1e2f3-a4b5-4d6e-7f8g-9h0i1j2k3l4m,2023-11-15,CC-3002,Active,jack.wilson@example.com,555-0110,555-0210,1110,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i,c0d3f1ae-6f5b-4c4a-9e0d-9b8a7f6e5c4q,a8b9c0d1-e2f3-4v4w-5x6y-7z8a9b0c1d2e,777 Aspen Way,77001
